year,coverage.fixtures.events,coverage.fixtures.statistics_fixtures,league.name,league.id,country.name,Coverage
2015,True,True,Ligue 1,61,France,2
2016,True,True,Ligue 1,61,France,2
2017,True,True,Ligue 1,61,France,2
2018,True,True,Ligue 1,61,France,2
2019,True,True,Ligue 1,61,France,2
2020,True,True,Ligue 1,61,France,2
2021,True,True,Ligue 1,61,France,2
2022,True,True,Ligue 1,61,France,2
2023,True,True,Ligue 1,61,France,2
2024,True,True,Ligue 1,61,France,2
2015,True,True,Jupiler Pro League,144,Belgium,2
2016,True,True,Jupiler Pro League,144,Belgium,2
2017,True,True,Jupiler Pro League,144,Belgium,2
2018,True,True,Jupiler Pro League,144,Belgium,2
2019,True,True,Jupiler Pro League,144,Belgium,2
2020,True,True,Jupiler Pro League,144,Belgium,2
2021,True,True,Jupiler Pro League,144,Belgium,2
2022,True,True,Jupiler Pro League,144,Belgium,2
2023,True,True,Jupiler Pro League,144,Belgium,2
2024,True,True,Jupiler Pro League,144,Belgium,2
2015,True,True,Serie A,71,Brazil,2
2016,True,True,Serie A,71,Brazil,2
2017,True,True,Serie A,71,Brazil,2
2018,True,True,Serie A,71,Brazil,2
2019,True,True,Serie A,71,Brazil,2
2020,True,True,Serie A,71,Brazil,2
2021,True,True,Serie A,71,Brazil,2
2022,True,True,Serie A,71,Brazil,2
2023,True,True,Serie A,71,Brazil,2
2024,True,True,Serie A,71,Brazil,2
2014,True,True,Premier League,39,England,2
2015,True,True,Premier League,39,England,2
2016,True,True,Premier League,39,England,2
2017,True,True,Premier League,39,England,2
2018,True,True,Premier League,39,England,2
2019,True,True,Premier League,39,England,2
2020,True,True,Premier League,39,England,2
2021,True,True,Premier League,39,England,2
2022,True,True,Premier League,39,England,2
2023,True,True,Premier League,39,England,2
2024,True,True,Premier League,39,England,2
2015,True,True,Bundesliga,78,Germany,2
2016,True,True,Bundesliga,78,Germany,2
2017,True,True,Bundesliga,78,Germany,2
2018,True,True,Bundesliga,78,Germany,2
2019,True,True,Bundesliga,78,Germany,2
2020,True,True,Bundesliga,78,Germany,2
2021,True,True,Bundesliga,78,Germany,2
2022,True,True,Bundesliga,78,Germany,2
2023,True,True,Bundesliga,78,Germany,2
2024,True,True,Bundesliga,78,Germany,2
2015,True,True,Serie A,135,Italy,2
2016,True,True,Serie A,135,Italy,2
2017,True,True,Serie A,135,Italy,2
2018,True,True,Serie A,135,Italy,2
2019,True,True,Serie A,135,Italy,2
2020,True,True,Serie A,135,Italy,2
2021,True,True,Serie A,135,Italy,2
2022,True,True,Serie A,135,Italy,2
2023,True,True,Serie A,135,Italy,2
2024,True,True,Serie A,135,Italy,2
2015,True,True,Eredivisie,88,Netherlands,2
2016,True,True,Eredivisie,88,Netherlands,2
2017,True,True,Eredivisie,88,Netherlands,2
2018,True,True,Eredivisie,88,Netherlands,2
2019,True,True,Eredivisie,88,Netherlands,2
2020,True,True,Eredivisie,88,Netherlands,2
2021,True,True,Eredivisie,88,Netherlands,2
2022,True,True,Eredivisie,88,Netherlands,2
2023,True,True,Eredivisie,88,Netherlands,2
2024,True,True,Eredivisie,88,Netherlands,2
2015,True,True,Primeira Liga,94,Portugal,2
2016,True,True,Primeira Liga,94,Portugal,2
2017,True,True,Primeira Liga,94,Portugal,2
2018,True,True,Primeira Liga,94,Portugal,2
2019,True,True,Primeira Liga,94,Portugal,2
2020,True,True,Primeira Liga,94,Portugal,2
2021,True,True,Primeira Liga,94,Portugal,2
2022,True,True,Primeira Liga,94,Portugal,2
2023,True,True,Primeira Liga,94,Portugal,2
2024,True,True,Primeira Liga,94,Portugal,2
2014,True,True,La Liga,140,Spain,2
2015,True,True,La Liga,140,Spain,2
2016,True,True,La Liga,140,Spain,2
2017,True,True,La Liga,140,Spain,2
2018,True,True,La Liga,140,Spain,2
2019,True,True,La Liga,140,Spain,2
2020,True,True,La Liga,140,Spain,2
2021,True,True,La Liga,140,Spain,2
2022,True,True,La Liga,140,Spain,2
2023,True,True,La Liga,140,Spain,2
2024,True,True,La Liga,140,Spain,2
2015,True,True,Premiership,179,Scotland,2
2016,True,True,Premiership,179,Scotland,2
2017,True,True,Premiership,179,Scotland,2
2018,True,True,Premiership,179,Scotland,2
2019,True,True,Premiership,179,Scotland,2
2020,True,True,Premiership,179,Scotland,2
2021,True,True,Premiership,179,Scotland,2
2022,True,True,Premiership,179,Scotland,2
2023,True,True,Premiership,179,Scotland,2
2024,True,True,Premiership,179,Scotland,2
2014,True,True,Ligue 2,62,France,2
2015,True,True,Ligue 2,62,France,2
2016,True,True,Ligue 2,62,France,2
2017,True,True,Ligue 2,62,France,2
2018,True,True,Ligue 2,62,France,2
2019,True,True,Ligue 2,62,France,2
2020,True,True,Ligue 2,62,France,2
2021,True,True,Ligue 2,62,France,2
2022,True,True,Ligue 2,62,France,2
2023,True,True,Ligue 2,62,France,2
2024,True,True,Ligue 2,62,France,2
2016,True,True,Premier League,333,Ukraine,2
2017,True,True,Premier League,333,Ukraine,2
2018,True,True,Premier League,333,Ukraine,2
2019,True,True,Premier League,333,Ukraine,2
2020,True,True,Premier League,333,Ukraine,2
2021,True,True,Premier League,333,Ukraine,2
2022,True,True,Premier League,333,Ukraine,2
2023,True,True,Premier League,333,Ukraine,2
2024,True,True,Premier League,333,Ukraine,2
2018,True,True,Pro League,301,United-Arab-Emirates,2
2021,True,True,Pro League,301,United-Arab-Emirates,2
2022,True,True,Pro League,301,United-Arab-Emirates,2
